id	sentence	pros	formula
19	Un chien brun attaque un autre animal devant le grand homme en pantalon	p(1,p(0,p(0,'Un',p(0,chien,brun)),p(0,attaque,p(0,un,p(0,autre,animal)))),p(0,devant,p(0,le,p(0,p(0,grand,homme),p(0,en,pantalon)))))	appl(appl(word(7),appl(word(8),appl(appl(word(11),word(12)),appl(word(9),word(10))))),appl(appl(word(3),appl(word(4),appl(word(5),word(6)))),appl(word(0),appl(word(2),word(1)))))
20	Un chien brun attaque un autre animal devant l'homme en pantalon	p(1,p(0,p(0,'Un',p(0,chien,brun)),p(0,attaque,p(0,un,p(0,autre,animal)))),p(0,devant,p(0,'l\'',p(0,homme,p(0,en,pantalon)))))	appl(appl(word(7),appl(word(8),appl(appl(word(10),word(11)),word(9)))),appl(appl(word(3),appl(word(4),appl(word(5),word(6)))),appl(word(0),appl(word(2),word(1)))))
21	Un chien brun attaque un autre animal devant l'homme en pantalon	p(1,p(0,p(0,'Un',p(0,chien,brun)),p(0,attaque,p(0,un,p(0,autre,animal)))),p(0,devant,p(0,'l\'',p(0,homme,p(0,en,pantalon)))))	appl(appl(word(7),appl(word(8),appl(appl(word(10),word(11)),word(9)))),appl(appl(word(3),appl(word(4),appl(word(5),word(6)))),appl(word(0),appl(word(2),word(1)))))
22	Un chien brun aide un autre animal devant l'homme en pantalon	p(1,p(0,p(0,'Un',p(0,chien,brun)),p(0,aide,p(0,un,p(0,autre,animal)))),p(0,devant,p(0,'l\'',p(0,homme,p(0,en,pantalon)))))	appl(appl(word(7),appl(word(8),appl(appl(word(10),word(11)),word(9)))),appl(appl(word(3),appl(word(4),appl(word(5),word(6)))),appl(word(0),appl(word(2),word(1)))))
23	Deux chiens se battent	p(0,p(0,'Deux',chiens),p(0,se,battent))	appl(appl(word(3),word(2)),appl(word(0),word(1)))
24	Deux chiens se battent et s'embrassent	p(0,p(0,'Deux',chiens),p(0,p(0,se,battent),p(0,et,p(0,'s\'',embrassent))))	appl(appl(appl(word(4),appl(word(6),word(5))),appl(word(3),word(2))),appl(word(0),word(1)))
25	Deux chiens se battent et s'embrassent	p(0,p(0,'Deux',chiens),p(0,p(0,se,battent),p(0,et,p(0,'s\'',embrassent))))	appl(appl(appl(word(4),appl(word(6),word(5))),appl(word(3),word(2))),appl(word(0),word(1)))
27	Un chien brun attaque un autre animal devant l'homme en pantalon	p(1,p(0,p(0,'Un',p(0,chien,brun)),p(0,attaque,p(0,un,p(0,autre,animal)))),p(0,devant,p(0,'l\'',p(0,homme,p(0,en,pantalon)))))	appl(appl(word(7),appl(word(8),appl(appl(word(10),word(11)),word(9)))),appl(appl(word(3),appl(word(4),appl(word(5),word(6)))),appl(word(0),appl(word(2),word(1)))))
28	Deux chiens se battent	p(0,p(0,'Deux',chiens),p(0,se,battent))	appl(appl(word(3),word(2)),appl(word(0),word(1)))
29	Un chien brun attaque un autre animal devant l'homme en pantalon	p(1,p(0,p(0,'Un',p(0,chien,brun)),p(0,attaque,p(0,un,p(0,autre,animal)))),p(0,devant,p(0,'l\'',p(0,homme,p(0,en,pantalon)))))	appl(appl(word(7),appl(word(8),appl(appl(word(10),word(11)),word(9)))),appl(appl(word(3),appl(word(4),appl(word(5),word(6)))),appl(word(0),appl(word(2),word(1)))))
31	Deux chiens se battent et s'embrassent	p(0,p(0,'Deux',chiens),p(0,p(0,se,battent),p(0,et,p(0,'s\'',embrassent))))	appl(appl(appl(word(4),appl(word(6),word(5))),appl(word(3),word(2))),appl(word(0),word(1)))
32	Un chien brun attaque un autre animal devant le grand homme en pantalon	p(1,p(0,p(0,'Un',p(0,chien,brun)),p(0,attaque,p(0,un,p(0,autre,animal)))),p(0,devant,p(0,le,p(0,p(0,grand,homme),p(0,en,pantalon)))))	appl(appl(word(7),appl(word(8),appl(appl(word(11),word(12)),appl(word(9),word(10))))),appl(appl(word(3),appl(word(4),appl(word(5),word(6)))),appl(word(0),appl(word(2),word(1)))))
33	Deux chiens se battent et s'embrassent	p(0,p(0,'Deux',chiens),p(0,p(0,se,battent),p(0,et,p(0,'s\'',embrassent))))	appl(appl(appl(word(4),appl(word(6),word(5))),appl(word(3),word(2))),appl(word(0),word(1)))
34	Un chien brun aide un autre animal devant l'homme en pantalon	p(1,p(0,p(0,'Un',p(0,chien,brun)),p(0,aide,p(0,un,p(0,autre,animal)))),p(0,devant,p(0,'l\'',p(0,homme,p(0,en,pantalon)))))	appl(appl(word(7),appl(word(8),appl(appl(word(10),word(11)),word(9)))),appl(appl(word(3),appl(word(4),appl(word(5),word(6)))),appl(word(0),appl(word(2),word(1)))))
