id	sentence	pros	formula
2	Certains chiens sont assis.	p(0,p(0,p(0,'Certains',chiens),p(0,sont,assis)),'.')	appl(word(4),appl(appl(word(2),word(3)),appl(word(0),word(1))))
4	Certains chiens ne courent pas.	p(0,p(1,p(0,p(0,'Certains',chiens),p(0,ne,courent)),pas),'.')	appl(word(5),appl(word(4),appl(appl(word(2),word(3)),appl(word(0),word(1)))))
6	Tout chien court.	p(0,p(0,p(0,'Tout',chien),court),'.')	appl(word(3),appl(word(2),appl(word(0),word(1))))
8	Plus d'un chien est assis.	p(0,p(0,p(0,'Plus',p(0,'d\'',p(0,un,chien))),p(0,est,assis)),'.')	appl(word(6),appl(appl(word(4),word(5)),appl(word(0),appl(word(1),appl(word(2),word(3))))))
10	Tous les chiens courent.	p(0,p(0,p(0,'Tous',p(0,les,chiens)),courent),'.')	appl(word(4),appl(word(3),appl(word(0),appl(word(1),word(2)))))
12	Plus de deux chiens courent.	p(0,p(0,p(0,'Plus',p(0,de,p(0,deux,chiens))),courent),'.')	appl(word(5),appl(word(4),appl(word(0),appl(word(1),appl(word(2),word(3))))))
14	Plus de quatre chiens sont assis.	p(0,p(0,p(0,'Plus',p(0,de,p(0,quatre,chiens))),p(0,sont,assis)),'.')	appl(word(6),appl(appl(word(4),word(5)),appl(word(0),appl(word(1),appl(word(2),word(3))))))
16	Plus de 3 chiens ne sont pas assis.	p(0,p(0,p(0,'Plus',p(0,de,p(0,3,chiens))),p(0,ne,p(0,sont,p(0,pas,assis)))),'.')	appl(word(8),appl(appl(word(4),appl(word(5),appl(word(6),word(7)))),appl(word(0),appl(word(1),appl(word(2),word(3))))))
18	Moins de six chiens courent.	p(0,p(0,p(0,'Moins',p(0,de,p(0,six,chiens))),courent),'.')	appl(word(5),appl(word(4),appl(word(0),appl(word(1),appl(word(2),word(3))))))
20	Un chien est assis.	p(0,p(0,p(0,'Un',chien),p(0,est,assis)),'.')	appl(word(4),appl(appl(word(2),word(3)),appl(word(0),word(1))))
22	Trois chiens courent.	p(0,p(0,p(0,'Trois',chiens),courent),'.')	appl(word(3),appl(word(2),appl(word(0),word(1))))
24	Entre six et sept chiens courent.	p(0,p(0,p(0,'Entre',p(0,p(0,six,p(0,et,sept)),chiens)),courent),'.')	appl(word(6),appl(word(5),appl(word(0),appl(appl(appl(word(2),word(3)),word(1)),word(4)))))
30	Un chien rouge court.	p(0,p(0,'Un',p(0,p(0,chien,rouge),court)),'.')	appl(word(4),appl(word(0),appl(word(3),appl(word(2),word(1)))))
32	60% des chiens courent.	p(0,p(0,p(0,60,p(0,'%',p(0,des,chiens))),courent),'.')	appl(word(5),appl(word(4),appl(word(0),appl(appl(word(2),word(3)),word(1)))))
34	40% des chiens sont assis.	p(0,p(0,p(0,40,p(0,'%',p(0,des,chiens))),p(0,sont,assis)),'.')	appl(word(6),appl(appl(word(4),word(5)),appl(word(0),appl(appl(word(2),word(3)),word(1)))))
36	Plus de 40% des chiens courent.	p(0,p(0,p(0,'Plus',p(0,de,p(0,40,p(0,'%',p(0,des,chiens))))),courent),'.')	appl(word(7),appl(word(6),appl(word(0),appl(word(1),appl(word(2),appl(appl(word(4),word(5)),word(3)))))))
38	Un chien brun et un chien rouge se poursuivent.	p(0,p(0,p(0,p(0,'Un',p(0,chien,brun)),p(0,et,p(0,un,p(0,chien,rouge)))),p(0,se,poursuivent)),'.')	appl(word(9),appl(appl(word(8),word(7)),appl(appl(word(3),appl(word(4),appl(word(6),word(5)))),appl(word(0),appl(word(2),word(1))))))
40	Deux chiens rouges se poursuivent l'un l'autre.	p(0,p(1,p(0,p(0,'Deux',p(0,chiens,rouges)),p(0,se,poursuivent)),p(0,'l\'',p(0,un,p(0,'l\'',autre)))),'.')	appl(word(9),appl(appl(word(5),appl(appl(word(7),word(8)),word(6))),appl(appl(word(4),word(3)),appl(word(0),appl(word(2),word(1))))))
101	Il y a six enfants debout au sommet d'une montagne jaune. Les deux tiers portent des hauts rouges et un tiers portent des hauts verts.	p(0,p(0,p(0,'Il',p(0,y,p(0,a,p(0,six,p(0,p(0,p(0,p(0,enfants,debout),p(0,au,sommet)),p(0,'d\'',p(0,une,montagne))),jaune))))),p(0,'.',p(0,p(0,p(0,'Les',p(0,deux,tiers)),p(0,portent,p(0,des,p(0,hauts,rouges)))),p(0,et,p(0,p(0,un,tiers),p(0,portent,p(0,des,p(0,hauts,verts)))))))),'.')	appl(word(27),appl(appl(word(12),appl(appl(word(20),appl(appl(word(23),appl(word(24),appl(word(26),word(25)))),appl(word(21),word(22)))),appl(appl(word(16),appl(word(17),appl(word(19),word(18)))),appl(word(13),appl(word(14),word(15)))))),appl(appl(appl(word(2),appl(word(3),appl(word(11),appl(appl(word(8),appl(word(9),word(10))),appl(appl(word(6),word(7)),appl(word(5),word(4))))))),word(1)),word(0))))
102	Six enfants portant des hauts rouges se tiennent debout au sommet d'une montagne.	p(0,p(1,p(0,p(0,'Six',p(0,p(0,enfants,p(0,portant,p(0,des,hauts))),rouges)),p(0,se,p(0,tiennent,debout))),p(0,au,p(0,sommet,p(0,'d\'',p(0,une,montagne))))),'.')	appl(word(14),appl(appl(word(9),appl(appl(word(11),appl(word(12),word(13))),word(10))),appl(appl(appl(word(7),word(8)),word(6)),appl(word(0),appl(word(5),appl(appl(word(2),appl(word(3),word(4))),word(1)))))))
103	Il y a six enfants debout au sommet d'une montagne jaune. Les deux tiers portent des hauts rouges et un tiers portent des hauts verts.	p(0,p(0,p(0,'Il',p(0,y,p(0,a,p(0,six,p(0,p(0,p(0,p(0,enfants,debout),p(0,au,sommet)),p(0,'d\'',p(0,une,montagne))),jaune))))),p(0,'.',p(0,p(0,p(0,'Les',p(0,deux,tiers)),p(0,portent,p(0,des,p(0,hauts,rouges)))),p(0,et,p(0,p(0,un,tiers),p(0,portent,p(0,des,p(0,hauts,verts)))))))),'.')	appl(word(27),appl(appl(word(12),appl(appl(word(20),appl(appl(word(23),appl(word(24),appl(word(26),word(25)))),appl(word(21),word(22)))),appl(appl(word(16),appl(word(17),appl(word(19),word(18)))),appl(word(13),appl(word(14),word(15)))))),appl(appl(appl(word(2),appl(word(3),appl(word(11),appl(appl(word(8),appl(word(9),word(10))),appl(appl(word(6),word(7)),appl(word(5),word(4))))))),word(1)),word(0))))
105	Il y a six enfants debout au sommet d'une montagne jaune. Les deux tiers portent des hauts rouges et un tiers portent des hauts verts.	p(0,p(0,p(0,'Il',p(0,y,p(0,a,p(0,six,p(0,p(0,p(0,p(0,enfants,debout),p(0,au,sommet)),p(0,'d\'',p(0,une,montagne))),jaune))))),p(0,'.',p(0,p(0,p(0,'Les',p(0,deux,tiers)),p(0,portent,p(0,des,p(0,hauts,rouges)))),p(0,et,p(0,p(0,un,tiers),p(0,portent,p(0,des,p(0,hauts,verts)))))))),'.')	appl(word(27),appl(appl(word(12),appl(appl(word(20),appl(appl(word(23),appl(word(24),appl(word(26),word(25)))),appl(word(21),word(22)))),appl(appl(word(16),appl(word(17),appl(word(19),word(18)))),appl(word(13),appl(word(14),word(15)))))),appl(appl(appl(word(2),appl(word(3),appl(word(11),appl(appl(word(8),appl(word(9),word(10))),appl(appl(word(6),word(7)),appl(word(5),word(4))))))),word(1)),word(0))))
107	Il y a six enfants debout au sommet d'une montagne jaune. Les deux tiers portent des hauts rouges et un tiers portent des hauts verts.	p(0,p(0,p(0,'Il',p(0,y,p(0,a,p(0,six,p(0,p(0,p(0,p(0,enfants,debout),p(0,au,sommet)),p(0,'d\'',p(0,une,montagne))),jaune))))),p(0,'.',p(0,p(0,p(0,'Les',p(0,deux,tiers)),p(0,portent,p(0,des,p(0,hauts,rouges)))),p(0,et,p(0,p(0,un,tiers),p(0,portent,p(0,des,p(0,hauts,verts)))))))),'.')	appl(word(27),appl(appl(word(12),appl(appl(word(20),appl(appl(word(23),appl(word(24),appl(word(26),word(25)))),appl(word(21),word(22)))),appl(appl(word(16),appl(word(17),appl(word(19),word(18)))),appl(word(13),appl(word(14),word(15)))))),appl(appl(appl(word(2),appl(word(3),appl(word(11),appl(appl(word(8),appl(word(9),word(10))),appl(appl(word(6),word(7)),appl(word(5),word(4))))))),word(1)),word(0))))
108	Quatre enfants portent des hauts rouges.	p(0,p(0,p(0,'Quatre',enfants),p(0,portent,p(0,des,p(0,hauts,rouges)))),'.')	appl(word(6),appl(appl(word(2),appl(word(3),appl(word(5),word(4)))),appl(word(0),word(1))))
109	Il y a six enfants debout au sommet d'une montagne jaune. Les deux tiers portent des hauts rouges et un tiers portent des hauts verts.	p(0,p(0,p(0,'Il',p(0,y,p(0,a,p(0,six,p(0,p(0,p(0,p(0,enfants,debout),p(0,au,sommet)),p(0,'d\'',p(0,une,montagne))),jaune))))),p(0,'.',p(0,p(0,p(0,'Les',p(0,deux,tiers)),p(0,portent,p(0,des,p(0,hauts,rouges)))),p(0,et,p(0,p(0,un,tiers),p(0,portent,p(0,des,p(0,hauts,verts)))))))),'.')	appl(word(27),appl(appl(word(12),appl(appl(word(20),appl(appl(word(23),appl(word(24),appl(word(26),word(25)))),appl(word(21),word(22)))),appl(appl(word(16),appl(word(17),appl(word(19),word(18)))),appl(word(13),appl(word(14),word(15)))))),appl(appl(appl(word(2),appl(word(3),appl(word(11),appl(appl(word(8),appl(word(9),word(10))),appl(appl(word(6),word(7)),appl(word(5),word(4))))))),word(1)),word(0))))
111	Il y a six enfants debout au sommet d'une montagne jaune. Les deux tiers portent des hauts rouges et un tiers portent des hauts verts.	p(0,p(0,p(0,'Il',p(0,y,p(0,a,p(0,six,p(0,p(0,p(0,p(0,enfants,debout),p(0,au,sommet)),p(0,'d\'',p(0,une,montagne))),jaune))))),p(0,'.',p(0,p(0,p(0,'Les',p(0,deux,tiers)),p(0,portent,p(0,des,p(0,hauts,rouges)))),p(0,et,p(0,p(0,un,tiers),p(0,portent,p(0,des,p(0,hauts,verts)))))))),'.')	appl(word(27),appl(appl(word(12),appl(appl(word(20),appl(appl(word(23),appl(word(24),appl(word(26),word(25)))),appl(word(21),word(22)))),appl(appl(word(16),appl(word(17),appl(word(19),word(18)))),appl(word(13),appl(word(14),word(15)))))),appl(appl(appl(word(2),appl(word(3),appl(word(11),appl(appl(word(8),appl(word(9),word(10))),appl(appl(word(6),word(7)),appl(word(5),word(4))))))),word(1)),word(0))))
112	Tous les enfants portent des hauts.	p(0,p(0,p(0,'Tous',p(0,les,enfants)),p(0,portent,p(0,des,hauts))),'.')	appl(word(6),appl(appl(word(3),appl(word(4),word(5))),appl(word(0),appl(word(1),word(2)))))
113	Il y a six enfants debout au sommet d'une montagne jaune. Les deux tiers portent des hauts rouges et un tiers portent des hauts verts.	p(0,p(0,p(0,'Il',p(0,y,p(0,a,p(0,six,p(0,p(0,p(0,p(0,enfants,debout),p(0,au,sommet)),p(0,'d\'',p(0,une,montagne))),jaune))))),p(0,'.',p(0,p(0,p(0,'Les',p(0,deux,tiers)),p(0,portent,p(0,des,p(0,hauts,rouges)))),p(0,et,p(0,p(0,un,tiers),p(0,portent,p(0,des,p(0,hauts,verts)))))))),'.')	appl(word(27),appl(appl(word(12),appl(appl(word(20),appl(appl(word(23),appl(word(24),appl(word(26),word(25)))),appl(word(21),word(22)))),appl(appl(word(16),appl(word(17),appl(word(19),word(18)))),appl(word(13),appl(word(14),word(15)))))),appl(appl(appl(word(2),appl(word(3),appl(word(11),appl(appl(word(8),appl(word(9),word(10))),appl(appl(word(6),word(7)),appl(word(5),word(4))))))),word(1)),word(0))))
115	Il y a six enfants debout au sommet d'une montagne jaune. Les deux tiers portent des hauts rouges et un tiers portent des hauts verts.	p(0,p(0,p(0,'Il',p(0,y,p(0,a,p(0,six,p(0,p(0,p(0,p(0,enfants,debout),p(0,au,sommet)),p(0,'d\'',p(0,une,montagne))),jaune))))),p(0,'.',p(0,p(0,p(0,'Les',p(0,deux,tiers)),p(0,portent,p(0,des,p(0,hauts,rouges)))),p(0,et,p(0,p(0,un,tiers),p(0,portent,p(0,des,p(0,hauts,verts)))))))),'.')	appl(word(27),appl(appl(word(12),appl(appl(word(20),appl(appl(word(23),appl(word(24),appl(word(26),word(25)))),appl(word(21),word(22)))),appl(appl(word(16),appl(word(17),appl(word(19),word(18)))),appl(word(13),appl(word(14),word(15)))))),appl(appl(appl(word(2),appl(word(3),appl(word(11),appl(appl(word(8),appl(word(9),word(10))),appl(appl(word(6),word(7)),appl(word(5),word(4))))))),word(1)),word(0))))
116	Moins de cinq enfants portent des hauts rouges.	p(0,p(0,p(0,'Moins',p(0,de,p(0,cinq,enfants))),p(0,portent,p(0,des,p(0,hauts,rouges)))),'.')	appl(word(8),appl(appl(word(4),appl(word(5),appl(word(7),word(6)))),appl(word(0),appl(word(1),appl(word(2),word(3))))))
117	Il y a six enfants debout au sommet d'une montagne jaune. Les deux tiers portent des hauts rouges et un tiers portent des hauts verts.	p(0,p(0,p(0,'Il',p(0,y,p(0,a,p(0,six,p(0,p(0,p(0,p(0,enfants,debout),p(0,au,sommet)),p(0,'d\'',p(0,une,montagne))),jaune))))),p(0,'.',p(0,p(0,p(0,'Les',p(0,deux,tiers)),p(0,portent,p(0,des,p(0,hauts,rouges)))),p(0,et,p(0,p(0,un,tiers),p(0,portent,p(0,des,p(0,hauts,verts)))))))),'.')	appl(word(27),appl(appl(word(12),appl(appl(word(20),appl(appl(word(23),appl(word(24),appl(word(26),word(25)))),appl(word(21),word(22)))),appl(appl(word(16),appl(word(17),appl(word(19),word(18)))),appl(word(13),appl(word(14),word(15)))))),appl(appl(appl(word(2),appl(word(3),appl(word(11),appl(appl(word(8),appl(word(9),word(10))),appl(appl(word(6),word(7)),appl(word(5),word(4))))))),word(1)),word(0))))
