id	sentence	cg_supertags
1	Il y a six chiens. Trois chiens bruns, un chien noir et un chien blanc courent le long de l'herbe verte.	['np', 'cl_y', 'dr(0,dl(0,cl_y,dl(0,np,s)),np)', 'dr(0,np,n)', 'n', 'dr(0,dl(0,np,s),s)', 'dr(0,np,n)', 'n', 'dl(0,n,n)', 'dr(0,dl(0,np,np),np)', 'dr(0,np,n)', 'n', 'dl(0,n,n)', 'dr(0,dl(0,np,np),np)', 'dr(0,np,n)', 'n', 'dl(0,n,n)', 'dl(0,np,s)', 'dr(0,dl(1,s,s),n)', 'n', 'dr(0,dl(0,n,n),np)', 'dr(0,np,n)', 'n', 'dl(0,n,n)', 'dl(0,s,txt)']
2	Certains chiens sont assis.	['dr(0,np,n)', 'n', 'dr(0,dl(0,np,s),dl(0,np,s_pass))', 'dl(0,np,s_pass)', 'dl(0,s,txt)']
3	Il y a six chiens. Trois chiens bruns, un chien noir et un chien blanc courent le long de l'herbe verte.	['np', 'cl_y', 'dr(0,dl(0,cl_y,dl(0,np,s)),np)', 'dr(0,np,n)', 'n', 'dr(0,dl(0,np,s),s)', 'dr(0,np,n)', 'n', 'dl(0,n,n)', 'dr(0,dl(0,np,np),np)', 'dr(0,np,n)', 'n', 'dl(0,n,n)', 'dr(0,dl(0,np,np),np)', 'dr(0,np,n)', 'n', 'dl(0,n,n)', 'dl(0,np,s)', 'dr(0,dl(1,s,s),n)', 'n', 'dr(0,dl(0,n,n),np)', 'dr(0,np,n)', 'n', 'dl(0,n,n)', 'dl(0,s,txt)']
4	Certains chiens ne courent pas.	['dr(0,np,n)', 'n', 'dr(0,dl(0,np,s),dl(0,np,s))', 'dl(0,np,s)', 'dl(1,s,s)', 'dl(0,s,txt)']
5	Il y a six chiens. Trois chiens bruns, un chien noir et un chien blanc courent le long de l'herbe verte.	['np', 'cl_y', 'dr(0,dl(0,cl_y,dl(0,np,s)),np)', 'dr(0,np,n)', 'n', 'dr(0,dl(0,np,s),s)', 'dr(0,np,n)', 'n', 'dl(0,n,n)', 'dr(0,dl(0,np,np),np)', 'dr(0,np,n)', 'n', 'dl(0,n,n)', 'dr(0,dl(0,np,np),np)', 'dr(0,np,n)', 'n', 'dl(0,n,n)', 'dl(0,np,s)', 'dr(0,dl(1,s,s),n)', 'n', 'dr(0,dl(0,n,n),np)', 'dr(0,np,n)', 'n', 'dl(0,n,n)', 'dl(0,s,txt)']
6	Tout chien court.	['dr(0,np,n)', 'n', 'dl(0,np,s)', 'dl(0,s,txt)']
7	Il y a six chiens. Trois chiens bruns, un chien noir et un chien blanc courent le long de l'herbe verte.	['np', 'cl_y', 'dr(0,dl(0,cl_y,dl(0,np,s)),np)', 'dr(0,np,n)', 'n', 'dr(0,dl(0,np,s),s)', 'dr(0,np,n)', 'n', 'dl(0,n,n)', 'dr(0,dl(0,np,np),np)', 'dr(0,np,n)', 'n', 'dl(0,n,n)', 'dr(0,dl(0,np,np),np)', 'dr(0,np,n)', 'n', 'dl(0,n,n)', 'dl(0,np,s)', 'dr(0,dl(1,s,s),n)', 'n', 'dr(0,dl(0,n,n),np)', 'dr(0,np,n)', 'n', 'dl(0,n,n)', 'dl(0,s,txt)']
8	Plus d'un chien est assis.	['dr(0,np,pp_de)', 'dr(0,pp_de,np)', 'dr(0,np,n)', 'n', 'dr(0,dl(0,np,s),dl(0,np,s_pass))', 'dl(0,np,s_pass)', 'dl(0,s,txt)']
9	Il y a six chiens. Trois chiens bruns, un chien noir et un chien blanc courent le long de l'herbe verte.	['np', 'cl_y', 'dr(0,dl(0,cl_y,dl(0,np,s)),np)', 'dr(0,np,n)', 'n', 'dr(0,dl(0,np,s),s)', 'dr(0,np,n)', 'n', 'dl(0,n,n)', 'dr(0,dl(0,np,np),np)', 'dr(0,np,n)', 'n', 'dl(0,n,n)', 'dr(0,dl(0,np,np),np)', 'dr(0,np,n)', 'n', 'dl(0,n,n)', 'dl(0,np,s)', 'dr(0,dl(1,s,s),n)', 'n', 'dr(0,dl(0,n,n),np)', 'dr(0,np,n)', 'n', 'dl(0,n,n)', 'dl(0,s,txt)']
10	Tous les chiens courent.	['dr(0,np,np)', 'dr(0,np,n)', 'n', 'dl(0,np,s)', 'dl(0,s,txt)']
