id	sentence	cg_supertags
1	Un groupe d'enfants joue dans une cour et un vieil homme se tient à l'arrière-plan	['dr(0,np,n)', 'n', 'dr(0,dl(0,n,n),n)', 'n', 'dl(0,np,s)', 'dr(0,pp,np)', 'dr(0,np,n)', 'n', 'dr(0,dl(0,s,s),s)', 'dr(0,np,n)', 'dr(0,n,n)', 'n', 'cl_r', 'dr(0,dl(0,cl_r,dl(0,np,s)),pp)', 'dr(0,pp_a,np)', 'dr(0,np,n)', 'n']
2	Un groupe de garçons dans une cour joue et un homme se tient en arrière-plan	['dr(0,np,n)', 'n', 'dr(0,dl(0,n,n),n)', 'n', 'dr(0,dl(0,n,n),np)', 'dr(0,np,n)', 'n', 'dl(0,np,s)', 'dr(0,dl(0,s,s),s)', 'dr(0,np,n)', 'n', 'cl_r', 'dl(0,cl_r,dl(0,np,s))', 'dr(0,dl(1,s,s),n)', 'n']
3	Un groupe d'enfants joue dans la maison et il n'y a pas d'homme debout en arrière-plan	['dr(0,np,n)', 'n', 'dr(0,dl(0,n,n),n)', 'n', 'dl(0,np,s)', 'dr(0,pp,np)', 'dr(0,np,n)', 'n', 'dr(0,dl(0,s,s),s)', 'np', 'dr(0,dl(0,np,s),dl(0,np,s))', 'cl_y', 'dr(0,dl(0,cl_y,dl(0,np,s)),np)', 'dr(0,np,pp_de)', 'dr(0,pp_de,n)', 'n', 'dl(0,n,n)', 'dr(0,dl(1,s,s),n)', 'n']
4	Un groupe d'enfants joue dans une cour et un vieil homme se tient à l'arrière-plan	['dr(0,np,n)', 'n', 'dr(0,dl(0,n,n),n)', 'n', 'dl(0,np,s)', 'dr(0,pp,np)', 'dr(0,np,n)', 'n', 'dr(0,dl(0,s,s),s)', 'dr(0,np,n)', 'dr(0,n,n)', 'n', 'cl_r', 'dr(0,dl(0,cl_r,dl(0,np,s)),pp)', 'dr(0,pp_a,np)', 'dr(0,np,n)', 'n']
5	Les jeunes garçons jouent dehors et l'homme sourit à proximité	['dr(0,np,n)', 'dr(0,n,n)', 'n', 'dl(0,np,s)', 'dl(1,s,s)', 'dr(0,dl(0,s,s),s)', 'dr(0,np,n)', 'n', 'dl(0,np,s)', 'dr(0,dl(1,s,s),n)', 'n']
6	Les enfants jouent dehors près d'un homme avec un sourire	['dr(0,np,n)', 'n', 'dl(0,np,s)', 'dl(1,s,s)', 'dr(0,dl(1,s,s),pp_de)', 'dr(0,pp_de,np)', 'dr(0,np,n)', 'n', 'dr(0,dl(1,s,s),np)', 'dr(0,np,n)', 'n']
7	Les jeunes garçons jouent dehors et l'homme sourit à proximité	['dr(0,np,n)', 'dr(0,n,n)', 'n', 'dl(0,np,s)', 'dl(1,s,s)', 'dr(0,dl(0,s,s),s)', 'dr(0,np,n)', 'n', 'dl(0,np,s)', 'dr(0,dl(1,s,s),n)', 'n']
8	Il n'y a pas de garçon jouant dehors et il n'y a pas d'homme souriant	['np', 'dr(0,dl(0,np,s),dl(0,np,s))', 'cl_y', 'dr(0,dl(0,cl_y,dl(0,np,s)),np)', 'dr(0,np,pp_de)', 'dr(0,pp_de,n)', 'n', 'dl(0,np,s_ppres)', 'dl(1,s,s)', 'dr(0,dl(0,s,s),s)', 'np', 'dr(0,dl(0,np,s),dl(0,np,s))', 'cl_y', 'dr(0,dl(0,cl_y,dl(0,np,s)),np)', 'dr(0,np,pp_de)', 'dr(0,pp_de,n)', 'n', 'dl(0,n,n)']
9	Les enfants jouent dehors près d'un homme avec un sourire	['dr(0,np,n)', 'n', 'dl(0,np,s)', 'dl(1,s,s)', 'dr(0,dl(1,s,s),pp_de)', 'dr(0,pp_de,np)', 'dr(0,np,n)', 'n', 'dr(0,dl(1,s,s),np)', 'dr(0,np,n)', 'n']
10	Un groupe d'enfants joue dans une cour et un vieil homme se tient à l'arrière-plan	['dr(0,np,n)', 'n', 'dr(0,dl(0,n,n),n)', 'n', 'dl(0,np,s)', 'dr(0,pp,np)', 'dr(0,np,n)', 'n', 'dr(0,dl(0,s,s),s)', 'dr(0,np,n)', 'dr(0,n,n)', 'n', 'cl_r', 'dr(0,dl(0,cl_r,dl(0,np,s)),pp)', 'dr(0,pp_a,np)', 'dr(0,np,n)', 'n']
11	Il n'y a pas de garçon jouant dehors et il n'y a pas d'homme souriant	['np', 'dr(0,dl(0,np,s),dl(0,np,s))', 'cl_y', 'dr(0,dl(0,cl_y,dl(0,np,s)),np)', 'dr(0,np,pp_de)', 'dr(0,pp_de,n)', 'n', 'dl(0,np,s_ppres)', 'dl(1,s,s)', 'dr(0,dl(0,s,s),s)', 'np', 'dr(0,dl(0,np,s),dl(0,np,s))', 'cl_y', 'dr(0,dl(0,cl_y,dl(0,np,s)),np)', 'dr(0,np,pp_de)', 'dr(0,pp_de,n)', 'n', 'dl(0,n,n)']
